,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
309,Texas A&M-Corpus Christi,24,5,19,.208,-16.95,-6.29,,2,13,,4,8,,1,10,,1554,1716,,960,542,1296,.418,153,464,.330,317,463,.685,206,816,308,165,74,401,425
310,Texas A&M,18,8,10,.444,2.31,4.97,,2,8,,6,4,,2,4,,1157,1205,,720,401,966,.415,117,391,.299,238,328,.726,198,602,218,124,34,265,304
311,Texas-Arlington,26,13,13,.500,-7.20,-4.55,,9,8,,9,4,,3,8,,1916,1827,,1045,677,1658,.408,235,659,.357,327,444,.736,303,974,353,214,122,311,434
312,Texas Christian,26,12,14,.462,2.83,7.21,,5,11,,6,7,,3,6,,1738,1852,,1045,625,1428,.438,175,518,.338,311,463,.672,255,900,338,157,91,369,407
313,Texas-El Paso,24,12,12,.500,0.90,1.09,,8,8,,10,2,,2,9,,1698,1644,,965,608,1432,.425,171,524,.326,311,416,.748,210,828,285,150,67,262,421
314,Texas-Rio Grande Valley,19,9,10,.474,-10.22,-5.82,,2,5,,8,3,,1,6,,1376,1287,,760,476,1164,.409,126,429,.294,298,468,.637,256,743,289,169,81,281,409
315,Texas-San Antonio,26,15,11,.577,-1.41,-0.36,,9,7,,12,2,,2,8,,2050,1906,,1040,768,1717,.447,209,625,.334,305,401,.761,300,1001,383,161,83,302,475
316,Texas Southern NCAA,24,16,8,.667,-7.48,-10.96,,10,3,,8,2,,5,6,,1795,1672,,965,650,1443,.450,110,398,.276,385,551,.699,294,998,298,172,111,384,431
317,Texas State,25,18,7,.720,-3.93,-7.45,,12,3,,8,3,,9,3,,1660,1543,,1015,629,1359,.463,139,366,.380,263,372,.707,231,821,331,171,73,332,421
318,Texas Tech NCAA,27,17,10,.630,16.54,6.91,,9,8,,11,4,,5,4,,1972,1712,,1090,686,1549,.443,168,485,.346,432,608,.711,316,948,350,196,110,296,469
