,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
24,Belmont,30,26,4,.867,3.88,-8.29,,18,2,,11,1,,10,2,,2439,2074,,1205,894,1829,.489,271,787,.344,380,515,.738,264,1072,547,232,87,361,438
25,Binghamton,18,4,14,.222,-11.45,-4.56,,4,10,,1,9,,3,5,,1178,1302,,735,430,1039,.414,156,472,.331,162,241,.672,191,642,199,90,55,250,307
26,Boise State,26,18,8,.692,9.61,0.85,,14,6,,11,1,,6,6,,1981,1725,,1045,693,1522,.455,199,582,.342,396,532,.744,239,929,348,172,76,299,443
27,Boston College,20,4,16,.200,1.69,9.84,,2,11,,3,5,,0,7,,1427,1590,,805,500,1186,.422,180,546,.330,247,352,.702,183,666,230,143,77,274,324
28,Boston University,18,7,11,.389,1.11,5.67,,6,10,,2,6,,5,5,,1249,1331,,720,451,1034,.436,125,393,.318,222,296,.750,181,634,189,97,53,225,305
29,Bowling Green State,25,14,11,.560,1.03,-1.31,,10,8,,4,7,,10,3,,1963,1886,,1010,702,1662,.422,207,644,.321,352,477,.738,313,957,316,181,51,251,429
30,Bradley,28,12,16,.429,0.50,1.34,,6,12,,8,6,,2,9,,1948,1864,,1130,736,1636,.450,192,603,.318,284,393,.723,284,1033,382,144,98,346,455
31,Brigham Young NCAA,26,20,6,.769,14.58,5.86,,10,3,,11,2,,7,2,,2047,1780,,1055,751,1557,.482,233,616,.378,312,427,.731,247,1024,431,123,73,346,468
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
33,Bryant,21,15,6,.714,0.99,-5.76,,10,4,,10,1,,5,5,,1761,1571,,840,609,1300,.468,198,515,.384,345,456,.757,220,845,327,143,75,319,347
34,Bucknell,12,5,7,.417,-3.71,-1.29,,4,6,,2,3,,3,4,,899,928,,480,311,683,.455,88,267,.330,189,248,.762,78,402,144,70,42,152,209
35,Buffalo,24,16,8,.667,7.50,-1.02,,12,5,,8,3,,5,3,,1961,1748,,970,736,1599,.460,168,497,.338,321,477,.673,357,1055,385,192,98,333,431
36,Butler,25,10,15,.400,5.74,10.90,,8,12,,8,4,,1,9,,1588,1717,,1015,572,1393,.411,179,554,.323,265,410,.646,230,807,308,139,51,286,406
37,Cal Poly,24,4,20,.167,-14.98,-2.94,,1,15,,3,8,,0,11,,1477,1700,,965,520,1316,.395,157,491,.320,280,388,.722,187,778,299,149,84,332,446
38,Cal State Bakersfield,26,15,11,.577,-1.70,-3.95,,11,7,,9,2,,6,8,,1811,1665,,1045,684,1531,.447,146,414,.353,297,416,.714,348,959,365,167,78,338,498
39,Cal State Fullerton,16,6,10,.375,-7.84,-4.57,,5,9,,5,4,,1,5,,1232,1257,,645,430,951,.452,131,341,.384,241,326,.739,140,526,218,107,32,205,271
40,Cal State Northridge,22,9,13,.409,-10.20,-3.48,,5,9,,4,7,,4,4,,1586,1709,,885,560,1323,.423,170,503,.338,296,407,.727,208,730,293,140,47,261,383
41,California Baptist,23,13,10,.565,-6.42,-6.21,,6,6,,11,4,,2,5,,1820,1674,,925,634,1334,.475,215,547,.393,337,457,.737,221,853,403,116,57,310,454
42,UC-Davis,18,10,8,.556,-7.27,-5.68,,7,5,,4,3,,4,3,,1295,1289,,735,449,1020,.440,102,315,.324,295,376,.785,160,571,195,135,50,261,359
43,UC-Irvine,27,18,9,.667,1.96,-2.36,,13,4,,10,1,,6,6,,1950,1712,,1090,729,1615,.451,132,390,.338,360,474,.759,303,1069,319,204,108,350,450
44,UC-Riverside,22,14,8,.636,2.55,-4.00,,10,5,,5,4,,7,3,,1544,1400,,890,572,1280,.447,201,542,.371,199,282,.706,189,799,308,116,51,264,384
45,UC-San Diego,17,7,10,.412,-8.51,-0.58,,4,10,,7,3,,0,7,,1214,1226,,685,447,973,.459,188,500,.376,132,207,.638,99,501,294,116,37,225,232
46,UC-Santa Barbara NCAA,26,22,4,.846,6.02,-4.31,,15,3,,11,0,,8,4,,1989,1633,,1050,717,1477,.485,176,501,.351,379,505,.750,241,915,423,197,72,285,413
47,University of California,29,9,20,.310,2.48,7.34,,3,17,,6,8,,1,11,,1897,2008,,1160,661,1536,.430,204,622,.328,371,532,.697,235,917,346,126,65,370,516
48,Campbell,27,17,10,.630,-6.29,-6.81,,11,6,,9,3,,6,7,,1917,1840,,1095,699,1409,.496,195,520,.375,324,478,.678,165,767,387,165,61,327,459
49,Canisius,13,7,6,.538,-7.87,-7.10,,7,5,,3,1,,4,4,,915,925,,520,321,786,.408,97,327,.297,176,248,.710,130,450,165,73,46,156,234
50,Central Arkansas,24,5,19,.208,-15.04,-2.17,,4,12,,4,5,,1,14,,1701,1933,,960,606,1388,.437,170,468,.363,319,445,.717,246,889,322,121,64,419,433
51,Central Connecticut State,21,5,16,.238,-13.08,-4.22,,5,13,,3,6,,2,9,,1439,1625,,840,522,1230,.424,150,463,.324,245,349,.702,179,664,270,145,54,298,359
52,Central Florida,23,11,12,.478,6.02,8.24,,8,10,,6,3,,4,8,,1546,1597,,925,542,1262,.429,180,507,.355,282,387,.729,216,765,285,157,79,340,389
53,Central Michigan,23,7,16,.304,-11.56,-3.41,,3,13,,5,7,,2,9,,1766,1835,,920,631,1417,.445,152,462,.329,352,523,.673,241,833,246,188,67,307,396
54,Charleston Southern,21,3,18,.143,-16.18,-5.68,,2,15,,1,9,,2,8,,1375,1550,,845,480,1182,.406,160,506,.316,255,357,.714,214,778,217,129,80,346,385
55,Charlotte,25,9,16,.360,-5.38,-2.13,,5,11,,6,7,,3,8,,1587,1668,,1025,545,1261,.432,143,441,.324,354,484,.731,172,778,282,136,73,335,364
56,Chattanooga,26,18,8,.692,-1.13,-2.50,,9,7,,9,3,,9,4,,1888,1801,,1050,667,1522,.438,218,607,.359,336,429,.783,217,881,319,178,48,289,370
57,Chicago State,9,0,9,.000,-31.29,1.94,,0,0,,0,0,,0,7,,499,798,,360,180,497,.362,51,203,.251,88,126,.698,54,234,89,49,13,140,178
58,Cincinnati,23,12,11,.522,4.21,7.42,,8,6,,5,5,,5,5,,1585,1659,,920,566,1339,.423,163,524,.311,290,442,.656,245,832,344,155,87,336,435
59,Citadel,25,13,12,.520,-5.61,-0.99,,5,11,,11,3,,1,8,,2019,1959,,1000,708,1566,.452,256,720,.356,347,495,.701,237,944,389,136,108,302,405
60,Clemson NCAA,23,16,7,.696,13.50,10.19,,10,6,,11,1,,2,5,,1502,1426,,925,541,1264,.428,192,555,.346,228,298,.765,198,751,305,140,66,292,361
61,Cleveland State NCAA,26,19,7,.731,-4.09,-4.97,,16,4,,9,2,,8,5,,1858,1835,,1065,684,1514,.452,166,520,.319,324,484,.669,279,910,363,182,65,334,499
62,Coastal Carolina,23,16,7,.696,-2.17,-8.17,,9,5,,12,1,,3,5,,1836,1535,,925,652,1419,.459,202,559,.361,330,452,.730,316,1005,356,195,96,344,380
63,Colgate NCAA,15,14,1,.933,19.16,1.43,,11,1,,8,1,,6,0,,1295,1029,,605,472,946,.499,136,338,.402,215,294,.731,144,596,262,108,52,151,235
64,College of Charleston,19,9,10,.474,-4.12,-2.30,,6,4,,8,6,,1,3,,1341,1329,,780,481,1066,.451,158,422,.374,221,311,.711,156,623,201,100,53,197,324
65,Colorado State,24,18,6,.750,8.59,-0.45,,14,4,,10,1,,6,4,,1791,1571,,960,615,1304,.472,205,569,.360,356,451,.789,182,843,348,132,61,327,414
66,Colorado NCAA,30,22,8,.733,16.76,6.99,,14,6,,11,1,,6,6,,2191,1898,,1200,774,1703,.454,224,611,.367,419,510,.822,296,1050,397,159,83,333,487
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
68,Connecticut NCAA,22,15,7,.682,17.13,9.22,,11,6,,7,3,,6,3,,1596,1422,,885,581,1323,.439,148,440,.336,286,391,.731,290,839,287,136,116,258,415
69,Coppin State,22,9,13,.409,-11.30,-4.99,,8,4,,5,3,,4,9,,1602,1741,,880,529,1287,.411,193,636,.303,351,564,.622,164,796,286,188,71,348,394
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
71,Creighton NCAA,28,20,8,.714,17.59,8.91,,14,6,,11,3,,7,4,,2155,1912,,1130,797,1675,.476,272,742,.367,289,450,.642,237,1011,445,198,99,311,433
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,.619,10.59,3.99,,7,4,,7,4,,4,2,,1518,1336,,845,550,1162,.473,209,570,.367,209,305,.685,190,734,318,108,54,226,312
74,Dayton,23,14,9,.609,7.40,4.88,,9,7,,8,3,,4,6,,1614,1556,,945,567,1189,.477,185,495,.374,295,410,.720,159,766,316,103,45,335,356
75,Delaware State,19,3,16,.158,-23.02,-5.25,,1,11,,3,6,,0,10,,1345,1629,,765,468,1183,.396,152,492,.309,257,357,.720,205,678,216,123,69,321,405
76,Delaware,15,7,8,.467,-4.27,-4.12,,5,4,,6,3,,1,4,,1013,1012,,600,347,793,.438,107,321,.333,212,297,.714,131,526,188,69,54,215,262
77,Denver,21,2,19,.095,-17.21,-6.61,,1,13,,2,10,,0,9,,1466,1662,,850,519,1172,.443,141,403,.350,287,398,.721,156,636,251,120,54,311,431
78,DePaul,19,5,14,.263,3.63,9.79,,2,13,,2,8,,2,5,,1250,1367,,770,481,1154,.417,103,327,.315,185,273,.678,229,717,217,130,74,300,374
79,Detroit Mercy,22,12,10,.545,-2.77,-5.31,,10,6,,7,5,,5,5,,1683,1627,,885,598,1290,.464,225,575,.391,262,326,.804,197,719,315,150,54,253,313
80,Dixie State,21,8,13,.381,-14.97,-4.40,,4,10,,5,7,,3,6,,1461,1603,,840,514,1227,.419,128,418,.306,305,427,.714,200,740,321,143,43,320,439
81,Drake NCAA,29,25,4,.862,9.55,-1.63,,15,3,,14,1,,9,2,,2245,1875,,1170,868,1757,.494,204,552,.370,305,428,.713,300,1043,399,207,86,299,455
82,Drexel NCAA,19,12,7,.632,0.23,-4.41,,4,5,,3,2,,4,5,,1358,1270,,760,495,1038,.477,138,371,.372,230,296,.777,168,645,288,89,45,245,288
83,Duke,24,13,11,.542,14.04,9.33,,9,9,,8,5,,3,6,,1824,1711,,970,692,1479,.468,201,571,.352,239,346,.691,269,851,387,197,109,307,410
84,Duquesne,18,9,9,.500,3.36,3.53,,7,7,,5,2,,2,5,,1205,1208,,720,438,1040,.421,115,385,.299,214,329,.650,205,654,241,121,80,240,310
85,East Carolina,19,8,11,.421,1.12,3.95,,2,10,,7,6,,1,4,,1269,1291,,765,449,1094,.410,109,359,.304,262,362,.724,189,653,303,117,59,240,325
86,East Tennessee State,25,13,12,.520,2.05,0.70,,8,7,,8,4,,3,5,,1736,1654,,1005,620,1416,.438,201,575,.350,295,423,.697,253,897,295,184,64,339,431
87,Eastern Illinois,27,9,18,.333,-12.27,-6.75,,6,14,,5,7,,4,11,,1874,2023,,1095,707,1623,.436,186,574,.324,274,417,.657,285,944,360,193,88,383,435
88,Eastern Kentucky,29,22,7,.759,-2.23,-7.79,,15,5,,10,2,,9,4,,2372,2137,,1180,871,1946,.448,279,778,.359,351,497,.706,306,1033,461,299,103,372,533
89,Eastern Michigan,18,6,12,.333,-13.33,-0.33,,3,11,,5,4,,1,8,,1267,1362,,720,448,1077,.416,128,411,.311,243,326,.745,169,594,198,160,42,221,274
90,Eastern Washington NCAA,23,16,7,.696,2.46,-5.45,,12,3,,7,2,,6,5,,1795,1597,,920,638,1367,.467,194,548,.354,325,413,.787,175,815,347,113,66,264,390
91,Elon,19,10,9,.526,-4.50,-3.61,,4,7,,4,2,,3,6,,1249,1235,,760,449,1084,.414,154,473,.326,197,266,.741,166,652,206,108,39,218,359
92,Evansville,25,9,16,.360,-4.70,0.14,,7,11,,8,4,,1,10,,1619,1740,,1015,571,1299,.440,240,637,.377,237,330,.718,149,670,291,122,56,274,377
93,Fairfield,27,10,17,.370,-10.73,-5.84,,7,11,,4,8,,3,8,,1668,1800,,1090,580,1456,.398,163,517,.315,345,496,.696,265,949,271,125,62,349,480
94,Fairleigh Dickinson,24,9,15,.375,-8.40,-4.69,,8,10,,4,6,,5,9,,1801,1890,,970,645,1432,.450,194,517,.375,317,445,.712,244,813,287,182,93,340,439
95,Florida A&M,20,8,12,.400,-11.96,-9.16,,7,5,,4,1,,4,10,,1314,1370,,800,500,1126,.444,95,303,.314,219,336,.652,206,705,265,130,50,338,364
96,Florida Atlantic,23,13,10,.565,-1.88,-4.77,,7,5,,7,1,,4,7,,1796,1537,,925,652,1409,.463,223,587,.380,269,407,.661,287,929,335,175,63,318,415
97,Florida Gulf Coast,18,10,8,.556,-9.47,-6.97,,4,4,,7,4,,2,2,,1292,1242,,720,483,1126,.429,146,499,.293,180,271,.664,206,700,246,134,77,265,280
98,Florida International,26,9,17,.346,-10.99,-3.04,,2,15,,7,8,,2,9,,1914,1985,,1055,690,1604,.430,273,816,.335,261,392,.666,252,847,388,219,105,380,463
99,Florida State NCAA,22,16,6,.727,17.98,9.39,,11,4,,12,1,,3,4,,1736,1547,,890,620,1307,.474,181,464,.390,315,427,.738,255,822,322,163,113,315,407
100,Florida NCAA,23,14,9,.609,14.89,10.76,,9,7,,6,3,,5,5,,1701,1606,,920,605,1303,.464,157,440,.357,334,441,.757,230,809,272,168,125,337,426
101,Fordham,14,2,12,.143,-10.52,4.26,,2,11,,2,5,,0,6,,725,932,,560,257,716,.359,79,294,.269,132,197,.670,95,415,153,87,28,187,221
102,Fresno State,24,12,12,.500,-3.50,0.14,,9,11,,7,5,,4,6,,1591,1618,,965,552,1289,.428,164,499,.329,323,485,.666,257,853,249,158,70,344,427
103,Furman,25,16,9,.640,6.46,-1.22,,10,5,,11,1,,5,7,,1990,1723,,1005,730,1499,.487,242,708,.342,288,398,.724,223,879,416,205,84,313,428
104,Gardner-Webb,26,11,15,.423,-3.31,-5.58,,10,10,,7,4,,4,11,,1837,1778,,1040,651,1465,.444,232,643,.361,303,439,.690,239,895,339,153,125,304,492
105,George Mason,22,13,9,.591,2.93,1.50,,8,6,,7,3,,3,4,,1569,1538,,905,578,1347,.429,160,487,.329,253,394,.642,254,834,287,159,94,282,353
106,George Washington,17,5,12,.294,-4.62,-0.44,,3,5,,3,6,,1,5,,1158,1229,,685,411,928,.443,102,315,.324,234,335,.699,136,582,194,107,46,233,247
107,Georgetown NCAA,25,13,12,.520,11.73,11.05,,7,9,,7,6,,2,6,,1784,1767,,1005,621,1463,.424,208,568,.366,334,443,.754,292,1005,321,148,97,383,397
108,Georgia Southern,26,13,13,.500,-9.75,-5.79,,7,9,,9,4,,4,8,,1860,1762,,1070,686,1536,.447,194,608,.319,294,463,.635,306,964,322,210,101,374,444
109,Georgia State,22,16,6,.727,-1.23,-4.13,,8,4,,9,1,,5,4,,1767,1599,,900,649,1386,.468,178,497,.358,291,425,.685,250,826,369,157,97,255,365
110,Georgia Tech NCAA,25,17,8,.680,14.06,8.54,,11,6,,11,3,,4,5,,1888,1750,,1025,695,1467,.474,189,542,.349,309,425,.727,204,770,401,230,85,278,391
111,Georgia,26,14,12,.538,7.02,8.42,,7,11,,12,5,,2,6,,2014,2027,,1045,734,1603,.458,165,509,.324,381,553,.689,318,973,389,220,64,434,484
112,Gonzaga NCAA,26,26,0,1.000,26.43,3.43,,15,0,,12,0,,7,0,,2395,1797,,1040,888,1612,.551,190,520,.365,429,590,.727,249,986,476,216,74,315,433
113,Grambling,24,12,12,.500,-14.78,-13.00,,9,6,,6,4,,5,7,,1617,1649,,965,562,1313,.428,125,377,.332,368,553,.665,207,827,337,195,73,371,433
114,Grand Canyon NCAA,23,17,6,.739,3.83,-5.78,,9,3,,10,3,,5,1,,1738,1405,,920,646,1314,.492,156,470,.332,290,423,.686,240,921,371,112,68,301,392
115,Green Bay,25,8,17,.320,-9.32,-4.40,,8,12,,6,6,,2,11,,1790,1913,,1030,656,1507,.435,170,511,.333,308,411,.749,228,817,352,138,90,269,405
116,Hampton,25,11,14,.440,-13.05,-8.65,,9,9,,5,7,,6,7,,1721,1831,,1000,619,1437,.431,185,557,.332,298,411,.725,196,844,292,152,149,318,426
117,Hartford NCAA,23,15,8,.652,-2.76,-5.37,,8,6,,10,1,,5,6,,1515,1455,,920,543,1251,.434,174,532,.327,255,358,.712,187,763,253,161,47,291,371
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
119,Hawaii,21,11,10,.524,-4.48,-4.22,,9,9,,7,5,,4,4,,1503,1452,,855,534,1208,.442,164,456,.360,271,376,.721,217,752,246,119,32,291,350
120,High Point,24,9,15,.375,-10.19,-6.98,,6,11,,5,5,,4,10,,1600,1677,,965,564,1357,.416,115,396,.290,357,520,.687,279,851,292,158,90,303,428
121,Hofstra,23,13,10,.565,-1.85,-2.02,,8,6,,7,3,,5,6,,1683,1679,,925,595,1342,.443,174,527,.330,319,445,.717,241,816,293,152,68,279,368
122,Holy Cross,16,5,11,.313,-0.17,5.27,,5,11,,2,7,,3,4,,1130,1217,,645,423,951,.445,111,314,.354,173,248,.698,150,522,193,110,63,206,305
123,Houston Baptist,25,6,19,.240,-16.94,-5.94,,4,11,,4,6,,1,12,,1776,2007,,1005,635,1485,.428,202,588,.344,304,415,.733,228,849,354,176,92,418,424
124,Houston NCAA,27,24,3,.889,22.14,4.14,,14,3,,15,0,,5,3,,2096,1562,,1080,739,1664,.444,252,699,.361,366,494,.741,387,1110,381,221,126,293,506
125,Howard,5,1,4,.200,-13.80,-2.05,,0,0,,1,1,,0,0,,363,424,,200,123,283,.435,38,123,.309,79,110,.718,41,177,74,26,25,72,89
126,Idaho State,24,13,11,.542,-9.80,-7.11,,8,6,,8,3,,5,5,,1637,1481,,970,559,1261,.443,166,499,.333,353,496,.712,243,861,273,108,83,357,442
127,Idaho,22,1,21,.045,-19.79,-4.38,,1,17,,1,9,,0,11,,1343,1682,,890,489,1133,.432,122,358,.341,243,335,.725,152,657,266,109,43,360,416
128,Illinois-Chicago,22,9,13,.409,-11.31,-6.67,,6,10,,7,4,,2,9,,1489,1591,,890,558,1301,.429,178,544,.327,195,296,.659,183,766,297,81,68,291,409
129,Illinois State,25,7,18,.280,-5.21,0.62,,4,14,,3,8,,3,9,,1799,1870,,1015,679,1477,.460,195,566,.345,246,372,.661,206,881,345,150,84,345,411
130,Illinois NCAA,29,23,6,.793,24.84,12.67,,16,4,,11,2,,9,3,,2361,2008,,1175,851,1707,.499,197,524,.376,462,669,.691,313,1172,473,166,82,382,520
131,Incarnate Word,22,8,14,.364,-16.09,-8.51,,5,9,,5,7,,3,6,,1495,1578,,885,524,1179,.444,168,450,.373,279,397,.703,171,686,269,118,40,308,395
132,Indiana State,25,15,10,.600,2.25,2.13,,11,7,,9,3,,5,6,,1662,1645,,1000,580,1338,.433,149,446,.334,353,481,.734,207,796,267,164,73,302,373
133,Indiana,27,12,15,.444,13.85,13.51,,7,12,,6,6,,3,7,,1882,1873,,1115,654,1510,.433,158,488,.324,416,626,.665,242,933,376,155,101,322,479
134,Iona NCAA,17,12,5,.706,-0.87,-7.17,,6,3,,4,2,,4,3,,1228,1121,,680,423,951,.445,127,358,.355,255,343,.743,189,637,237,116,67,266,370
135,Iowa State,24,2,22,.083,-0.54,10.59,,0,18,,2,10,,0,11,,1574,1841,,960,591,1413,.418,175,546,.321,217,277,.783,206,758,278,156,75,357,447
136,Iowa NCAA,29,21,8,.724,23.21,11.38,,14,6,,14,2,,6,4,,2429,2086,,1165,863,1839,.469,283,733,.386,420,589,.713,328,1164,555,162,131,276,433
137,Purdue-Fort Wayne,23,8,15,.348,-11.32,-7.80,,6,14,,5,6,,3,9,,1728,1809,,955,631,1259,.501,204,510,.400,262,380,.689,177,721,328,156,64,393,413
138,IUPUI,18,8,10,.444,-10.82,-6.21,,7,9,,4,5,,4,5,,1281,1364,,720,452,1069,.423,143,416,.344,234,326,.718,168,608,239,124,40,250,340
139,Jackson State,18,12,6,.667,-11.55,-14.33,,11,0,,6,0,,5,5,,1181,1131,,730,397,1002,.396,100,294,.340,287,422,.680,187,661,190,147,59,277,348
140,Jacksonville State,27,18,9,.667,-2.61,-5.65,,13,6,,8,3,,7,5,,2005,1851,,1095,723,1568,.461,219,616,.356,340,496,.685,299,1048,383,135,94,360,413
141,Jacksonville,24,11,13,.458,-10.95,-6.55,,5,9,,7,5,,4,8,,1622,1668,,965,577,1320,.437,170,526,.323,298,449,.664,206,800,269,164,63,343,372
142,James Madison,20,13,7,.650,0.73,-2.33,,8,2,,10,3,,3,3,,1562,1409,,800,543,1201,.452,166,486,.342,310,464,.668,220,747,276,149,40,243,375
