,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Brigham Young NCAA,26,20,6,.769,14.58,5.86,,10,3,,11,2,,7,2,,2047,1780,,70.5,110.1,.274,.396,.582,54.8,57.4,6.6,7.2,.557,16.4,28.7,.200
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
33,Bryant,21,15,6,.714,0.99,-5.76,,10,4,,10,1,,5,5,,1761,1571,,76.7,109.4,.351,.396,.581,51.5,53.7,8.9,8.7,.545,17.4,29.3,.265
34,Bucknell,12,5,7,.417,-3.71,-1.29,,4,6,,2,3,,3,4,,899,928,,73.1,102.5,.363,.391,.561,47.6,46.3,8.0,8.1,.520,16.0,19.8,.277
35,Buffalo,24,16,8,.667,7.50,-1.02,,12,5,,8,3,,5,3,,1961,1748,,74.4,108.7,.298,.311,.537,55.3,52.3,10.6,9.6,.513,15.4,37.3,.201
36,Butler,25,10,15,.400,5.74,10.90,,8,12,,8,4,,1,9,,1588,1717,,65.1,96.1,.294,.398,.500,48.8,53.8,8.4,6.0,.475,15.3,26.0,.190
37,Cal Poly,24,4,20,.167,-14.98,-2.94,,1,15,,3,8,,0,11,,1477,1700,,68.5,89.4,.295,.373,.492,46.4,57.5,9.0,9.3,.455,18.1,22.1,.213
38,Cal State Bakersfield,26,15,11,.577,-1.70,-3.95,,11,7,,9,2,,6,8,,1811,1665,,65.7,105.6,.272,.270,.524,56.2,53.4,9.7,10.1,.494,16.4,39.3,.194
39,Cal State Fullerton,16,6,10,.375,-7.84,-4.57,,5,9,,5,4,,1,5,,1232,1257,,72.7,105.1,.343,.359,.557,47.6,50.7,9.1,5.0,.521,15.6,25.0,.253
40,Cal State Northridge,22,9,13,.409,-10.20,-3.48,,5,9,,4,7,,4,4,,1586,1709,,70.9,101.1,.308,.380,.523,47.0,52.3,8.9,6.1,.488,14.7,25.3,.224
41,California Baptist,23,13,10,.565,-6.42,-6.21,,6,6,,11,4,,2,5,,1820,1674,,71.1,110.6,.343,.410,.587,53.1,63.6,7.1,6.3,.556,16.7,29.0,.253
42,UC-Davis,18,10,8,.556,-7.27,-5.68,,7,5,,4,3,,4,3,,1295,1289,,70.7,99.8,.369,.309,.540,48.9,43.4,10.4,8.0,.490,17.9,26.6,.289
43,UC-Irvine,27,18,9,.667,1.96,-2.36,,13,4,,10,1,,6,6,,1950,1712,,69.2,103.4,.293,.241,.530,55.4,43.8,10.8,11.6,.492,16.0,32.6,.223
44,UC-Riverside,22,14,8,.636,2.55,-4.00,,10,5,,5,4,,7,3,,1544,1400,,66.8,103.9,.220,.423,.546,52.5,53.8,7.8,6.2,.525,15.7,26.2,.155
45,UC-San Diego,17,7,10,.412,-8.51,-0.58,,4,10,,7,3,,0,7,,1214,1226,,70.2,101.0,.213,.514,.567,43.8,65.8,9.7,5.4,.556,17.4,17.3,.136
46,UC-Santa Barbara NCAA,26,22,4,.846,6.02,-4.31,,15,3,,11,0,,8,4,,1989,1633,,67.4,112.5,.342,.339,.579,54.2,59.0,11.1,7.4,.545,14.2,29.4,.257
47,University of California,29,9,20,.310,2.48,7.34,,3,17,,6,8,,1,11,,1897,2008,,66.3,98.7,.346,.405,.530,49.4,52.3,6.6,6.2,.497,17.1,24.6,.242
48,Campbell,27,17,10,.630,-6.29,-6.81,,11,6,,9,3,,6,7,,1917,1840,,65.8,106.4,.339,.369,.586,46.2,55.4,9.2,6.7,.565,16.7,20.7,.230
49,Canisius,13,7,6,.538,-7.87,-7.10,,7,5,,3,1,,4,4,,915,925,,71.5,98.4,.316,.416,.506,48.6,51.4,7.8,8.9,.470,14.7,26.6,.224
50,Central Arkansas,24,5,19,.208,-15.04,-2.17,,4,12,,4,5,,1,14,,1701,1933,,74.0,95.8,.321,.337,.532,51.1,53.1,6.8,6.8,.498,20.8,28.9,.230
51,Central Connecticut State,21,5,16,.238,-13.08,-4.22,,5,13,,3,6,,2,9,,1439,1625,,72.0,95.2,.284,.376,.515,44.7,51.7,9.6,7.1,.485,17.6,23.4,.199
52,Central Florida,23,11,12,.478,6.02,8.24,,8,10,,6,3,,4,8,,1546,1597,,68.0,98.3,.307,.402,.535,48.9,52.6,10.0,9.8,.501,19.0,28.2,.223
53,Central Michigan,23,7,16,.304,-11.56,-3.41,,3,13,,5,7,,2,9,,1766,1835,,74.9,102.5,.369,.326,.530,48.3,39.0,10.9,7.6,.499,15.6,27.7,.248
54,Charleston Southern,21,3,18,.143,-16.18,-5.68,,2,15,,1,9,,2,8,,1375,1550,,70.2,92.8,.302,.428,.509,49.5,45.2,8.7,10.2,.474,20.4,28.2,.216
55,Charlotte,25,9,16,.360,-5.38,-2.13,,5,11,,6,7,,3,8,,1587,1668,,64.6,95.9,.384,.350,.532,49.4,51.7,8.2,8.6,.489,18.3,22.2,.281
56,Chattanooga,26,18,8,.692,-1.13,-2.50,,9,7,,9,3,,9,4,,1888,1801,,68.6,104.8,.282,.399,.547,49.3,47.8,9.9,4.9,.510,14.3,23.9,.221
57,Chicago State,9,0,9,.000,-31.29,1.94,,0,0,,0,0,,0,7,,499,798,,71.2,77.8,.254,.408,.448,38.0,49.4,7.6,3.7,.413,20.1,16.6,.177
58,Cincinnati,23,12,11,.522,4.21,7.42,,8,6,,5,5,,5,5,,1585,1659,,71.3,96.6,.330,.391,.512,51.1,60.8,9.5,10.3,.484,17.8,29.1,.217
59,Citadel,25,13,12,.520,-5.61,-0.99,,5,11,,11,3,,1,8,,2019,1959,,74.9,107.9,.316,.460,.560,50.3,54.9,7.3,10.2,.534,14.4,25.4,.222
60,Clemson NCAA,23,16,7,.696,13.50,10.19,,10,6,,11,1,,2,5,,1502,1426,,64.9,100.1,.236,.439,.534,50.1,56.4,9.3,9.2,.504,17.2,26.6,.180
61,Cleveland State NCAA,26,19,7,.731,-4.09,-4.97,,16,4,,9,2,,8,5,,1858,1835,,67.6,103.2,.320,.343,.533,49.8,53.1,10.1,7.7,.507,16.1,30.9,.214
62,Coastal Carolina,23,16,7,.696,-2.17,-8.17,,9,5,,12,1,,3,5,,1836,1535,,71.8,110.5,.319,.394,.562,56.7,54.6,11.7,12.7,.531,17.4,37.8,.233
63,Colgate NCAA,15,14,1,.933,19.16,1.43,,11,1,,8,1,,6,0,,1295,1029,,72.2,118.6,.311,.357,.596,53.3,55.5,9.9,8.7,.571,12.2,28.1,.227
64,College of Charleston,19,9,10,.474,-4.12,-2.30,,6,4,,8,6,,1,3,,1341,1329,,64.7,106.3,.292,.396,.552,49.4,41.8,7.9,8.4,.525,14.0,24.7,.207
65,Colorado State,24,18,6,.750,8.59,-0.45,,14,4,,10,1,,6,4,,1791,1571,,69.4,107.5,.346,.436,.590,51.6,56.6,7.9,7.9,.550,17.7,24.6,.273
66,Colorado NCAA,30,22,8,.733,16.76,6.99,,14,6,,11,1,,6,6,,2191,1898,,66.3,110.2,.299,.359,.563,53.2,51.3,8.0,7.8,.520,14.6,30.8,.246
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
68,Connecticut NCAA,22,15,7,.682,17.13,9.22,,11,6,,7,3,,6,3,,1596,1422,,66.6,108.4,.296,.333,.529,53.4,49.4,9.2,14.4,.495,14.6,36.6,.216
